,problem_index,flip_problem,flip_shots,num1,num2,problem_msg,problem_tokens,response_repeat,response,logprobs_json,prompt_tokens,completion_tokens,shots,model,system_prompt,problem_number_format,answer_number_format,repeat_style,num_spaces,num_trailing_spaces,num_shots,problem_rng_key,shots_rng_key
10,10,True,True,69828801,267222004,69828801+267222004=,8,0,337050805,"[{""token"": ""337"", ""logprob"": -0.012113661, ""top_5_logprobs"": [{""token"": ""337"", ""logprob"": -0.012113661}, {""token"": ""336"", ""logprob"": -4.419525}, {""token"": "" "", ""logprob"": -15.951899}, {""token"": ""$"", ""logprob"": -16.396044}, {""token"": ""327"", ""logprob"": -16.66446}]}, {""token"": ""050"", ""logprob"": -2.1411865e-05, ""top_5_logprobs"": [{""token"": ""050"", ""logprob"": -2.1411865e-05}, {""token"": ""051"", ""logprob"": -10.893827}, {""token"": ""50"", ""logprob"": -13.98287}, {""token"": ""049"", ""logprob"": -14.291323}, {""token"": ""052"", ""logprob"": -15.072975}]}, {""token"": ""805"", ""logprob"": -2.220075e-06, ""top_5_logprobs"": [{""token"": ""805"", ""logprob"": -2.220075e-06}, {""token"": ""005"", ""logprob"": -14.242502}, {""token"": ""205"", ""logprob"": -15.33213}, {""token"": ""806"", ""logprob"": -15.662785}, {""token"": ""825"", ""logprob"": -15.932774}]}]",195,3,"726724987+89312719=816037706,949938623+29776157=979714780,426190845+23626509=449817354,155495118+59625746=215120864,716354559+88418086=804772645,661557201+70842556=732399757,312830345+18667492=331497837,415789095+77560309=493349404",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
11,11,True,True,818243791,38657761,818243791+38657761=,8,0,856901552,"[{""token"": ""856"", ""logprob"": -0.0031162763, ""top_5_logprobs"": [{""token"": ""856"", ""logprob"": -0.0031162763}, {""token"": ""857"", ""logprob"": -5.773784}, {""token"": ""8"", ""logprob"": -14.235224}, {""token"": ""836"", ""logprob"": -14.503637}, {""token"": ""859"", ""logprob"": -14.551918}]}, {""token"": ""901"", ""logprob"": -3.650519e-06, ""top_5_logprobs"": [{""token"": ""901"", ""logprob"": -3.650519e-06}, {""token"": ""902"", ""logprob"": -13.278671}, {""token"": ""900"", ""logprob"": -13.87322}, {""token"": ""501"", ""logprob"": -15.181053}, {""token"": ""001"", ""logprob"": -15.579653}]}, {""token"": ""552"", ""logprob"": -2.577686e-06, ""top_5_logprobs"": [{""token"": ""552"", ""logprob"": -2.577686e-06}, {""token"": ""152"", ""logprob"": -14.410211}, {""token"": ""52"", ""logprob"": -14.821263}, {""token"": ""352"", ""logprob"": -15.04667}, {""token"": ""052"", ""logprob"": -15.323844}]}]",195,3,"76045804+468513997=544559801,60151237+857034010=917185247,74316850+170572966=244889816,22927375+660576521=683503896,46273012+286934758=333207770,78896295+187535368=266431663,62976718+829910781=892887499,20937407+686513449=707450856",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
12,12,True,True,277923174,523960559,277923174+523960559=,8,0,801883733,"[{""token"": ""801"", ""logprob"": -1.0206721e-05, ""top_5_logprobs"": [{""token"": ""801"", ""logprob"": -1.0206721e-05}, {""token"": "" "", ""logprob"": -12.044936}, {""token"": ""8"", ""logprob"": -13.824414}, {""token"": ""80"", ""logprob"": -13.923528}, {""token"": ""791"", ""logprob"": -14.220454}]}, {""token"": ""883"", ""logprob"": -1.9361265e-07, ""top_5_logprobs"": [{""token"": ""883"", ""logprob"": -1.9361265e-07}, {""token"": ""8"", ""logprob"": -17.591915}, {""token"": ""884"", ""logprob"": -17.876183}, {""token"": ""983"", ""logprob"": -17.878675}, {""token"": ""893"", ""logprob"": -18.219389}]}, {""token"": ""733"", ""logprob"": -8.537869e-06, ""top_5_logprobs"": [{""token"": ""733"", ""logprob"": -8.537869e-06}, {""token"": ""732"", ""logprob"": -12.478866}, {""token"": ""734"", ""logprob"": -13.763223}, {""token"": ""723"", ""logprob"": -14.4414625}, {""token"": ""73"", ""logprob"": -14.736339}]}]",195,3,"534776506+219006850=753783356,131858532+551343719=683202251,222267319+382441764=604709083,343572158+465371677=808943835,224846048+625351969=850198017,482309630+372924993=855234623,135656724+816178433=951835157,255234728+438976679=694211407",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
13,13,True,True,1793190,8165279,1793190+8165279=,8,0,9958469,"[{""token"": ""995"", ""logprob"": -0.00021212305, ""top_5_logprobs"": [{""token"": ""995"", ""logprob"": -0.00021212305}, {""token"": ""9"", ""logprob"": -8.791714}, {""token"": "" "", ""logprob"": -10.554007}, {""token"": ""996"", ""logprob"": -10.689201}, {""token"": ""  "", ""logprob"": -13.00083}]}, {""token"": ""846"", ""logprob"": -0.038864095, ""top_5_logprobs"": [{""token"": ""846"", ""logprob"": -0.038864095}, {""token"": ""847"", ""logprob"": -3.2672157}, {""token"": ""848"", ""logprob"": -14.03237}, {""token"": ""046"", ""logprob"": -14.230475}, {""token"": ""946"", ""logprob"": -14.252407}]}, {""token"": ""9"", ""logprob"": -3.1281633e-07, ""top_5_logprobs"": [{""token"": ""9"", ""logprob"": -3.1281633e-07}, {""token"": ""8"", ""logprob"": -15.524378}, {""token"": ""7"", ""logprob"": -17.075665}, {""token"": ""6"", ""logprob"": -17.649904}, {""token"": ""1"", ""logprob"": -17.954636}]}]",195,3,"2702906+4764969=7467875,2619965+6301236=8921201,5177668+4020904=9198572,1909133+4963583=6872716,2383835+3677171=6061006,5135176+1918674=7053850,5037906+3402249=8440155,2717236+5939564=8656800",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
14,14,True,True,1762110,8316096,1762110+8316096=,8,0,10048206,"[{""token"": ""100"", ""logprob"": -6.6113236e-05, ""top_5_logprobs"": [{""token"": ""100"", ""logprob"": -6.6113236e-05}, {""token"": ""1"", ""logprob"": -10.019979}, {""token"": ""10"", ""logprob"": -11.058446}, {""token"": ""007"", ""logprob"": -13.047833}, {""token"": "" "", ""logprob"": -13.702842}]}, {""token"": ""482"", ""logprob"": -1.848669, ""top_5_logprobs"": [{""token"": ""482"", ""logprob"": -1.848669}, {""token"": ""382"", ""logprob"": -1.8782864}, {""token"": ""282"", ""logprob"": -1.9909592}, {""token"": ""582"", ""logprob"": -2.3405495}, {""token"": ""182"", ""logprob"": -2.414093}]}, {""token"": ""06"", ""logprob"": -4.00813e-06, ""top_5_logprobs"": [{""token"": ""06"", ""logprob"": -4.00813e-06}, {""token"": ""206"", ""logprob"": -12.987341}, {""token"": ""07"", ""logprob"": -14.435457}, {""token"": ""0"", ""logprob"": -15.452457}, {""token"": ""6"", ""logprob"": -15.602665}]}]",195,3,"7451069+2866501=10317570,5416430+5687772=11104202,9357023+2181267=11538290,7918264+3432649=11350913,4900352+9767851=14668203,9882902+1492453=11375355,9955469+1818493=11773962,9225844+1535803=10761647",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
15,15,True,True,5204794,14154565,5204794+14154565=,8,0,19359359,"[{""token"": ""193"", ""logprob"": -9.014684e-06, ""top_5_logprobs"": [{""token"": ""193"", ""logprob"": -9.014684e-06}, {""token"": ""1"", ""logprob"": -12.445468}, {""token"": ""194"", ""logprob"": -13.45404}, {""token"": "" "", ""logprob"": -13.791392}, {""token"": ""19"", ""logprob"": -14.353836}]}, {""token"": ""593"", ""logprob"": -1.8908588e-05, ""top_5_logprobs"": [{""token"": ""593"", ""logprob"": -1.8908588e-05}, {""token"": ""592"", ""logprob"": -11.356598}, {""token"": ""793"", ""logprob"": -13.6193905}, {""token"": ""594"", ""logprob"": -13.709675}, {""token"": ""093"", ""logprob"": -14.218067}]}, {""token"": ""59"", ""logprob"": -4.246537e-06, ""top_5_logprobs"": [{""token"": ""59"", ""logprob"": -4.246537e-06}, {""token"": ""58"", ""logprob"": -12.911682}, {""token"": ""49"", ""logprob"": -15.032724}, {""token"": ""359"", ""logprob"": -15.089699}, {""token"": ""60"", ""logprob"": -15.666185}]}]",195,3,"38356448+4493013=42849461,61057853+7332429=68390282,33167593+4771850=37939443,86643922+8049963=94693885,20458501+7582646=28041147,30135708+2696968=32832676,45750597+6917192=52667789,50463554+9259558=59723112",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
16,16,True,True,80069479,9023126,80069479+9023126=,8,0,89092605,"[{""token"": ""890"", ""logprob"": -8.299462e-06, ""top_5_logprobs"": [{""token"": ""890"", ""logprob"": -8.299462e-06}, {""token"": "" "", ""logprob"": -13.009061}, {""token"": ""$"", ""logprob"": -13.446172}, {""token"": ""8"", ""logprob"": -13.540694}, {""token"": ""891"", ""logprob"": -14.222674}]}, {""token"": ""926"", ""logprob"": -0.021631738, ""top_5_logprobs"": [{""token"": ""926"", ""logprob"": -0.021631738}, {""token"": ""925"", ""logprob"": -3.8471227}, {""token"": ""726"", ""logprob"": -10.49787}, {""token"": ""826"", ""logprob"": -11.866061}, {""token"": ""126"", ""logprob"": -12.565147}]}, {""token"": ""05"", ""logprob"": -1.9816675e-06, ""top_5_logprobs"": [{""token"": ""05"", ""logprob"": -1.9816675e-06}, {""token"": ""605"", ""logprob"": -14.018318}, {""token"": ""03"", ""logprob"": -15.005255}, {""token"": ""06"", ""logprob"": -15.12339}, {""token"": ""01"", ""logprob"": -15.49922}]}]",195,3,"2110707+53842150=55952857,4323901+43801074=48124975,1123983+13660684=14784667,2772754+50291643=53064397,5202114+16148536=21350650,2909471+13945733=16855204,9768909+15703664=25472573,2009823+30535677=32545500",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
17,17,True,True,5776818,97469020,5776818+97469020=,8,0,103045838,"[{""token"": ""103"", ""logprob"": -6.704273e-07, ""top_5_logprobs"": [{""token"": ""103"", ""logprob"": -6.704273e-07}, {""token"": ""1"", ""logprob"": -16.108385}, {""token"": "" "", ""logprob"": -16.660576}, {""token"": ""$"", ""logprob"": -16.705412}, {""token"": ""<<"", ""logprob"": -16.842333}]}, {""token"": ""045"", ""logprob"": -1.6374204, ""top_5_logprobs"": [{""token"": ""045"", ""logprob"": -1.6374204}, {""token"": ""645"", ""logprob"": -1.9604566}, {""token"": ""545"", ""logprob"": -2.2931821}, {""token"": ""145"", ""logprob"": -2.3366792}, {""token"": ""845"", ""logprob"": -2.4458578}]}, {""token"": ""838"", ""logprob"": -2.8160932e-06, ""top_5_logprobs"": [{""token"": ""838"", ""logprob"": -2.8160932e-06}, {""token"": ""837"", ""logprob"": -13.459321}, {""token"": ""8"", ""logprob"": -14.7251005}, {""token"": ""839"", ""logprob"": -15.576034}, {""token"": ""938"", ""logprob"": -15.591201}]}]",195,3,"95628624+6517283=102145907,99145117+4825999=103971116,97118593+5849807=102968400,97008098+7736298=104744396,97648210+6113391=103761601,93374092+8278322=101652414,98836340+2676043=101512383,99852214+2970725=102822939",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
18,18,True,True,95296876,5851637,95296876+5851637=,8,0,101548513,"[{""token"": ""101"", ""logprob"": -1.7432603e-06, ""top_5_logprobs"": [{""token"": ""101"", ""logprob"": -1.7432603e-06}, {""token"": ""   "", ""logprob"": -14.178232}, {""token"": ""1"", ""logprob"": -15.378216}, {""token"": ""10"", ""logprob"": -15.773632}, {""token"": ""$"", ""logprob"": -15.925322}]}, {""token"": ""548"", ""logprob"": -1.9464891, ""top_5_logprobs"": [{""token"": ""548"", ""logprob"": -1.9464891}, {""token"": ""248"", ""logprob"": -2.0123994}, {""token"": ""048"", ""logprob"": -2.014879}, {""token"": ""448"", ""logprob"": -2.0361536}, {""token"": ""148"", ""logprob"": -2.1085508}]}, {""token"": ""513"", ""logprob"": -6.1537958e-06, ""top_5_logprobs"": [{""token"": ""513"", ""logprob"": -6.1537958e-06}, {""token"": ""613"", ""logprob"": -13.407356}, {""token"": ""713"", ""logprob"": -13.751799}, {""token"": ""313"", ""logprob"": -14.041594}, {""token"": ""213"", ""logprob"": -14.359192}]}]",195,3,"7175835+97262748=104438583,3920390+96734696=100655086,7327146+94207201=101534347,7187465+99046697=106234162,5754754+94853037=100607791,8345884+98037857=106383741,1171676+99504130=100675806,3956630+99467415=103424045",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
19,19,True,True,65789753,11604229,65789753+11604229=,8,0,77393982,"[{""token"": ""773"", ""logprob"": -2.0100624e-05, ""top_5_logprobs"": [{""token"": ""773"", ""logprob"": -2.0100624e-05}, {""token"": ""774"", ""logprob"": -10.979213}, {""token"": "" "", ""logprob"": -14.289119}, {""token"": ""77"", ""logprob"": -14.563609}, {""token"": ""772"", ""logprob"": -14.590631}]}, {""token"": ""939"", ""logprob"": -1.147242e-06, ""top_5_logprobs"": [{""token"": ""939"", ""logprob"": -1.147242e-06}, {""token"": ""940"", ""logprob"": -14.1727915}, {""token"": ""938"", ""logprob"": -15.822324}, {""token"": ""94"", ""logprob"": -16.708439}, {""token"": ""839"", ""logprob"": -16.716415}]}, {""token"": ""82"", ""logprob"": -2.1008714e-06, ""top_5_logprobs"": [{""token"": ""82"", ""logprob"": -2.1008714e-06}, {""token"": ""83"", ""logprob"": -13.904497}, {""token"": ""81"", ""logprob"": -14.845192}, {""token"": ""8"", ""logprob"": -15.495724}, {""token"": ""92"", ""logprob"": -16.594706}]}]",195,3,"18721598+74211289=92932887,47234096+24601086=71835182,34392012+58102881=92494893,53925498+30434796=84360294,25601859+59920426=85522285,43011552+37240782=80252334,33481303+35976378=69457681,30060846+62985484=93046330",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,nosep,,0,0,8,0,1
