,problem_index,flip_problem,flip_shots,num1,num2,problem_msg,problem_tokens,response_repeat,response,prompt_tokens,completion_tokens,shots,model,system_prompt,problem_number_format,repeat_problem_number_format,answer_number_format,num_spaces,num_trailing_spaces,num_shots,problem_rng_key,shots_rng_key
10,10,False,False,3735601,78222315,3735601+78222315=,8,0,"37,356,01 + 78,222,315 = 81,957,916",60,19,8625231+47615144=56240375,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
11,11,False,False,6612747,566641845,6612747+566641845=,8,0,"6,612,747 + 566,641,845 = 573,254,592",60,19,6355373+715618011=721973384,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
12,12,False,False,42267863,8567869,42267863+8567869=,8,0,"42,267,863 + 8,567,869 = 50,934,732",60,19,81825437+2779456=84604893,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
13,13,False,False,47695019,29774166,47695019+29774166=,8,0,"47,695,019 + 29,774,166 = 77,469,185",60,19,55309205+97600455=152909660,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
14,14,False,False,18614706,518722247,18614706+518722247=,8,0,"18,614,706 + 518,722,247 = 537,336,953",60,19,61417760+339607145=401024905,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
15,15,False,False,306492243,5719768,306492243+5719768=,8,0,"306,492,243+5,719,768=312,212,011",60,17,624426857+5126563=629553420,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
16,16,False,False,808630085,27532599,808630085+27532599=,8,0,"808,630,085+27,532,599=836,162,684",60,17,217757908+27742716=245500624,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
17,17,False,False,430298470,694067915,430298470+694067915=,8,0,"430,298,470+694,067,915=1,124,366,385",61,19,504512742+780846284=1285359026,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
18,18,False,False,7169254,6322530,7169254+6322530=,8,0,"7,169,254 + 6,322,530 = 13,491,784",60,19,3379874+5752675=9132549,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
19,19,False,False,8572387,76470457,8572387+76470457=,8,0,"85,723,87+76,470,457=85,723,844",60,17,5819391+30296338=36115729,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
20,20,False,False,4304231,377004109,4304231+377004109=,8,0,"4,304,231 + 377,004,109 = 381,008,340",60,19,9410680+298513967=307924647,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
21,21,False,False,92387097,3019679,92387097+3019679=,8,0,"92,387,097 + 3,019,679 = 95,506,776",60,19,53306770+7984063=61290833,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
22,22,False,False,35295736,81720003,35295736+81720003=,8,0,"35,295,736 + 81,720,003 = 117,015,739",60,19,75569500+39787328=115356828,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
23,23,False,False,31569348,923325852,31569348+923325852=,8,0,"31,569,348 + 923,325,852 = 954,895,200",60,19,58849299+596122429=654971728,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
24,24,False,False,851153427,4266518,851153427+4266518=,8,0,"851,153,427+4,266,518=855,420,945",60,17,835354186+7165905=842520091,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
25,25,False,False,910436316,79313778,910436316+79313778=,8,0,"910,436,316+79,313,778=989,750,094",61,17,978139144+82311916=1060451060,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
26,26,False,False,439288219,390148286,439288219+390148286=,8,0,"439,288,219+390,148,286=829,436,505",60,17,319644065+185033292=504677357,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
27,27,False,False,7859788,7979386,7859788+7979386=,8,0,"7,859,788 + 7,979,386 = 15,839,174",60,19,9269314+6827815=16097129,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
28,28,False,False,5746685,74617405,5746685+74617405=,8,0,"57,466,85 + 74,617,405 = 80,064,090",60,19,9501390+25084631=34586021,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
29,29,False,False,1227763,881768096,1227763+881768096=,8,0,1227763+881768096= 881890859,60,12,1581250+123021143=124602393,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
30,30,False,False,28696832,1516385,28696832+1516385=,8,0,"28,696,832 + 1,516,385 = 30,813,217",60,19,92534194+1845784=94379978,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
31,31,False,False,86669258,60294542,86669258+60294542=,8,0,"86,669,258 + 60,294,542 = 147,963,800",60,19,40040952+42571261=82612213,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
32,32,False,False,26269523,860417848,26269523+860417848=,8,0,"26,269,523 + 860,417,848 = 886,387,371",60,19,12074787+883366766=895441553,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
33,33,False,False,288317111,6719702,288317111+6719702=,8,0,"288,317,111+6,719,702=295,036,813",60,17,808308620+9967409=818276029,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
34,34,False,False,375974393,17570295,375974393+17570295=,8,0,"375,974,393+17,570,295=393,544,688",60,17,924124509+20542733=944667242,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
35,35,False,False,702855193,392159457,702855193+392159457=,8,0,"702,855,193+392,159,457=1,095,014,650",60,19,134297937+860428010=994725947,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
36,36,False,False,8293063,5579292,8293063+5579292=,8,0,"8,293,063 + 5,579,292 = 13,872,355",60,19,8623978+1625831=10249809,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
37,37,False,False,8677809,26959317,8677809+26959317=,8,0,"8,677,809 + 26,959,317 = 35,627,126",60,19,3580977+29080944=32661921,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
38,38,False,False,9709796,498497748,9709796+498497748=,8,0,"9,709,796 + 498,497,748 = 508,207,544",60,19,2541996+899857020=902399016,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
39,39,False,False,83954275,8324636,83954275+8324636=,8,0,"83,954,275 + 8,324,636 = 92,286,911",60,19,81617082+9795774=91412856,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
40,40,False,False,84038950,59508035,84038950+59508035=,8,0,"84,038,950 + 59,508,035 = 143,547,985",60,19,60628190+20848187=81476377,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
41,41,False,False,47706879,737397363,47706879+737397363=,8,0,"47,706,879 + 737,397,363 = 785,104,242",60,19,51069441+398753215=449822656,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
42,42,False,False,975019769,8584821,975019769+8584821=,8,0,975019769+8584821=983604590,60,11,514657562+4766766=519424328,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
43,43,False,False,764100366,12205532,764100366+12205532=,8,0,"764,100,366+12,205,532=776,305,898",60,17,530382187+95795864=626178051,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
44,44,False,False,325038684,314311216,325038684+314311216=,8,0,"325,038,684+314,311,216=639,349,900",60,17,744257064+123944720=868201784,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
45,45,False,False,3626898,8897740,3626898+8897740=,8,0,"3,626,898 + 8,897,740 = 12,524,638",60,19,3205993+6157344=9363337,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
46,46,False,False,3654384,90928948,3654384+90928948=,8,0,"36,543,84 + 90,928,948 = 94,583,332",60,19,9067851+65451976=74519827,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
47,47,False,False,5215841,248222037,5215841+248222037=,8,0,"5,215,841 + 248,222,037 = 253,437,878",60,19,8831777+512842903=521674680,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
48,48,False,False,83213051,3277055,83213051+3277055=,8,0,"83,213,051 + 3,277,055 = 86,940,106",60,19,40623508+8028352=48651860,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
49,49,False,False,97302597,72197177,97302597+72197177=,8,0,"97,302,597 + 72,197,177 = 169,499,774",60,19,89641725+86269382=175911107,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
50,50,False,False,43522959,626053173,43522959+626053173=,8,0,"43,522,959 + 626,053,173 = 669,576,132",60,19,52685574+284134403=336819977,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
51,51,False,False,810599385,6461223,810599385+6461223=,8,0,"810,599,385+6,461,223=816,060,608",60,17,229676728+1830269=231506997,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
52,52,False,False,368321110,61308300,368321110+61308300=,8,0,"368,321,110+61,308,300=429,629,410",60,17,521099284+74590483=595689767,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
53,53,False,False,347634465,156805150,347634465+156805150=,8,0,"347,634,465 + 156,805,150 = 504,439,615",61,19,371661015+705203881=1076864896,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
54,54,False,False,8980889,7917286,8980889+7917286=,8,0,"8,980,889+7,917,286=16,898,175",60,17,3592087+6208483=9800570,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
55,55,False,False,3149015,51428634,3149015+51428634=,8,0,"31,490,15 + 51,428,634 = 54,957,649",60,19,8469850+35878403=44348253,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
56,56,False,False,3132772,920969091,3132772+920969091=,8,0,"3,132,772 + 920,969,091 = 924,101,863",60,19,7013354+110527021=117540375,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
57,57,False,False,15986434,1392246,15986434+1392246=,8,0,"15,986,434 + 1,392,246 = 17,378,680",60,19,75938091+5185820=81123911,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
58,58,False,False,48951570,94029536,48951570+94029536=,8,0,"48,951,570 + 94,029,536 = 143,981,106",60,19,35531306+23257002=58788308,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
59,59,False,False,22063662,572653085,22063662+572653085=,8,0,"22,063,662 + 572,653,085 = 594,916,747",61,19,83713578+960135210=1043848788,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
60,60,False,False,291062901,3723758,291062901+3723758=,8,0,"291,062,901+3,723,758=294,786,659",60,17,484411474+3630445=488041919,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
61,61,False,False,117221765,47622549,117221765+47622549=,8,0,"117,221,765+47,622,549=164,844,314",60,17,535806581+19890743=555697324,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
62,62,False,False,730626411,467731809,730626411+467731809=,8,0,"730,626,411+467,731,809=1,198,358,220",60,19,574900629+379019039=953919668,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
63,63,False,False,3714885,7521962,3714885+7521962=,8,0,"3,714,885+7,521,962=11,236,847",60,17,3714419+6567436=10281855,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
64,64,False,False,9006484,53267652,9006484+53267652=,8,0,"9,006,484 + 53,267,652 = 62,268,136",60,19,2312424+33378898=35691322,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
65,65,False,False,5222029,198699994,5222029+198699994=,8,0,"5,222,029 + 198,699,994 = 203,922,023",60,19,5088526+804963760=810052286,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
66,66,False,False,64833346,1716892,64833346+1716892=,8,0,"64,833,346 + 1,716,892 = 66,950,238",60,19,23970281+9637409=33607690,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
67,67,False,False,10226838,45688794,10226838+45688794=,8,0,"10,226,838 + 45,688,794 = 55,915,632",60,19,93387576+84029604=177417180,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
68,68,False,False,49922028,225780966,49922028+225780966=,8,0,"49,922,028 + 225,780,966 = 275,703,994",60,19,81335478+330784249=412119727,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
69,69,False,False,131742199,8562138,131742199+8562138=,8,0,"131,742,199+8,562,138=140,304,337",60,17,701646087+8816190=710462277,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
70,70,False,False,144889651,97098489,144889651+97098489=,8,0,"144,889,651+97,098,489=241988140",60,15,446977620+85935355=532912975,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
71,71,False,False,167544901,475350920,167544901+475350920=,8,0,"167,544,901+475,350,920=642,895,821",61,17,841451664+618616286=1460067950,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
72,72,False,False,9374668,6122542,9374668+6122542=,8,0,"9,374,668 + 6,122,542 = 15,497,210",60,19,4194791+9230196=13424987,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
73,73,False,False,1973134,13007120,1973134+13007120=,8,0,"19,731,34 + 13,007,120 = 14,804,254",60,19,7729872+44894082=52623954,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
74,74,False,False,9360347,717451560,9360347+717451560=,8,0,"9,360,347 + 717,451,560 = 726,814,907",60,19,8217744+123398456=131616200,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
75,75,False,False,28505409,2617207,28505409+2617207=,8,0,"28,505,409+2,617,207=31,122,616",60,17,65840216+7894980=73735196,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
76,76,False,False,21598838,85133526,21598838+85133526=,8,0,"21,598,838 + 85,133,526 = 106,732,364",60,19,26416594+63133235=89549829,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
77,77,False,False,83901777,962169873,83901777+962169873=,8,0,83901777+962169873=1047074650,60,12,25172153+955106374=980278527,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
78,78,False,False,311491260,3425934,311491260+3425934=,8,0,"311,491,260+3,425,934=314,917,194",60,17,266250601+9745990=275996591,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
79,79,False,False,986793495,54021090,986793495+54021090=,8,0,"986,793,495+54,021,090=1,040,014,585",60,19,763854662+51889363=815744025,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
80,80,False,False,494414977,632215798,494414977+632215798=,8,0,"494,414,977+632,215,798=1,126,630,775",61,19,874778733+683756224=1558534957,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
81,81,False,False,1677324,7514842,1677324+7514842=,8,0,"1,677,324 + 7,514,842 = 9,192,166",60,19,6072479+3682092=9754571,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
82,82,False,False,8842593,12036159,8842593+12036159=,8,0,"8,842,593 + 12,036,159 = 20,878,752",60,19,8942027+35121164=44063191,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
83,83,False,False,8202333,472019863,8202333+472019863=,8,0,"8,202,333 + 472,019,863 = 480,222,196",60,19,5463718+859327853=864791571,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
84,84,False,False,45909767,8780671,45909767+8780671=,8,0,"45,909,767 + 8,780,671 = 54,787,438",60,19,88747090+3371903=92118993,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
85,85,False,False,40185932,43182335,40185932+43182335=,8,0,"40,185,932 + 43,182,335 = 83,368,267",60,19,41007347+96861481=137868828,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
86,86,False,False,96811155,407867638,96811155+407867638=,8,0,96811155+407867638=504678793,60,11,27107017+595307475=622414492,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
87,87,False,False,592955730,7719228,592955730+7719228=,8,0,"592,955,730+7,719,228=600,674,958",60,17,747075506+7523657=754599163,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
88,88,False,False,596780670,95328802,596780670+95328802=,8,0,"596,780,670+95,328,802=692,109,472",60,17,668475319+74235979=742711298,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
89,89,False,False,752752744,328244045,752752744+328244045=,8,0,"752,752,744+328,244,045=1,081,996,789",61,19,913779570+678445292=1592224862,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,1,0,1
90,0,False,False,2307350,6058422,2307350+6058422=,8,0,"2,307,350+6,058,422=8,365,772",93,17,"1591489+1771307=3362796,3327240+1622211=4949451",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
91,1,False,False,7778640,14016227,7778640+14016227=,8,0,"7,778,640+14,016,227=21,794,867",93,17,"6741341+27336233=34077574,8750598+92585751=101336349",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
92,2,False,False,9482500,964332763,9482500+964332763=,8,0,"9,482,500+964,332,763=973,815,263",93,17,"9108780+350040172=359148952,6697153+138065232=144762385",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
93,3,False,False,51629751,1711633,51629751+1711633=,8,0,"51,629,751+1,711,633=53,341,384",93,17,"71466778+2912413=74379191,76583382+3693125=80276507",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
94,4,False,False,57713793,81530413,57713793+81530413=,8,0,"57,713,793+81,530,413=139244206",93,15,"43907337+29712317=73619654,71879765+92854755=164734520",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
95,5,False,False,10841276,608537036,10841276+608537036=,8,0,"10,841,276+608,537,036=619,378,312",93,17,"86496753+281432826=367929579,12349133+117470387=129819520",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
96,6,False,False,201260781,7489051,201260781+7489051=,8,0,"201,260,781+7,489,051=208,749,832",93,17,"974351912+2843960=977195872,583269594+7527559=590797153",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
97,7,False,False,580528087,15255626,580528087+15255626=,8,0,"580,528,087+15,255,626=595,783,713",93,17,"270005636+43758442=313764078,757489463+36258305=793747768",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
98,8,False,False,391577960,272373856,391577960+272373856=,8,0,"391,577,960+272,373,856=663951816",94,15,"203257269+443536093=646793362,366154807+763097383=1129252190",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
99,9,False,False,5807401,2374360,5807401+2374360=,8,0,"5,807,401+2,374,360=8,182,761",93,17,"3886336+4840519=8726855,7380554+6413406=13793960",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
100,10,False,False,3735601,78222315,3735601+78222315=,8,0,"3,735,601+78,222,315=81,957,916",93,17,"4986619+25695361=30681980,4085252+70601998=74687250",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
101,11,False,False,6612747,566641845,6612747+566641845=,8,0,"6,612,747+566,641,845=573254592",93,15,"6468761+302442309=308911070,7557926+566659524=574217450",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
102,12,False,False,42267863,8567869,42267863+8567869=,8,0,"42,267,863+8,567,869=50,835,732",93,17,"12469845+5598126=18067971,54728566+7491542=62220108",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
103,13,False,False,47695019,29774166,47695019+29774166=,8,0,"47,695,019+29,774,166=77,469,185",93,17,"12379222+98944842=111324064,54572596+53869984=108442580",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
104,14,False,False,18614706,518722247,18614706+518722247=,8,0,"18,614,706+518,722,247=537336953",93,15,"50473791+357292587=407766378,89176460+154065822=243242282",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
105,15,False,False,306492243,5719768,306492243+5719768=,8,0,"306,492,243+5,719,768=312,212,011",93,17,"122291751+1663584=123955335,405605247+5718795=411324042",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
106,16,False,False,808630085,27532599,808630085+27532599=,8,0,"808,630,085+27,532,599=836,162,684",93,17,"439870705+88636469=528507174,439335722+21467198=460802920",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
107,17,False,False,430298470,694067915,430298470+694067915=,8,0,"430,298,470+694,067,915=1,124,366,385",94,19,"759135560+659749556=1418885116,342850479+609897752=952748231",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
108,18,False,False,7169254,6322530,7169254+6322530=,8,0,"7,169,254+6,322,530=13,492,784",93,17,"1353124+7599746=8952870,5221890+7055244=12277134",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
109,19,False,False,8572387,76470457,8572387+76470457=,8,0,"8,572,387+76,470,457=85,042,844",93,17,"5651409+51942618=57594027,5855056+85826552=91681608",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
110,20,False,False,4304231,377004109,4304231+377004109=,8,0,"4,304,231+377,004,109=381,308,340",93,17,"5518636+462272780=467791416,6215726+621763728=627979454",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
111,21,False,False,92387097,3019679,92387097+3019679=,8,0,"92,387,097+3,019,679=95,506,776",93,17,"64370260+4695929=69066189,28362114+1165970=29528084",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
112,22,False,False,35295736,81720003,35295736+81720003=,8,0,"35,295,736+81,720,003=117,015,739",93,17,"19187603+78147719=97335322,54329891+98219945=152549836",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
113,23,False,False,31569348,923325852,31569348+923325852=,8,0,"31,569,348+923,325,852=954,895,200",93,17,"20505574+143375668=163881242,47084062+810473151=857557213",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
114,24,False,False,851153427,4266518,851153427+4266518=,8,0,"851,153,427+4,266,518=855,419,945",93,17,"438192840+6536845=444729685,668286416+4501663=672788079",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,nosep,0,0,2,0,1
