,problem_index,flip_problem,flip_shots,num1,num2,problem_msg,problem_tokens,response_repeat,response,prompt_tokens,completion_tokens,shots,model,system_prompt,problem_number_format,answer_number_format,repeat_style,num_spaces,num_trailing_spaces,num_shots,problem_rng_key,shots_rng_key
13,13,False,False,47695019,29774166,47695019+29774166=,8,0,77469185,50,3,55309205+97600455=152909660,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
14,14,False,False,18614706,518722247,18614706+518722247=,8,0,"537,336,953",50,5,61417760+339607145=401024905,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
15,15,False,False,306492243,5719768,306492243+5719768=,8,0,"312,211,011",50,5,624426857+5126563=629553420,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
16,16,False,False,808630085,27532599,808630085+27532599=,8,0,836162684,50,3,217757908+27742716=245500624,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
17,17,False,False,430298470,694067915,430298470+694067915=,8,0,"1,124,366,385",52,7,504512742+780846284=1285359026,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
18,18,False,False,7169254,6322530,7169254+6322530=,8,0,"13,490,784",50,5,3379874+5752675=9132549,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
19,19,False,False,8572387,76470457,8572387+76470457=,8,0,"85,042,844",50,5,5819391+30296338=36115729,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
20,20,False,False,4304231,377004109,4304231+377004109=,8,0,381308340,50,3,9410680+298513967=307924647,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
21,21,False,False,92387097,3019679,92387097+3019679=,8,0,"95,767,776",50,5,53306770+7984063=61290833,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
22,22,False,False,35295736,81720003,35295736+81720003=,8,0,"117,215,739",50,5,75569500+39787328=115356828,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
23,23,False,False,31569348,923325852,31569348+923325852=,8,0,"954,895,200",50,5,58849299+596122429=654971728,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
24,24,False,False,851153427,4266518,851153427+4266518=,8,0,"855,419,945",50,5,835354186+7165905=842520091,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
25,25,False,False,910436316,79313778,910436316+79313778=,8,0,989750094,52,3,978139144+82311916=1060451060,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
26,26,False,False,439288219,390148286,439288219+390148286=,8,0,"829,436,505",50,5,319644065+185033292=504677357,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
27,27,False,False,7859788,7979386,7859788+7979386=,8,0,"15,639,174",50,5,9269314+6827815=16097129,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
28,28,False,False,5746685,74617405,5746685+74617405=,8,0,The sum of 5746685 and 74617405 is 80364090.,50,18,9501390+25084631=34586021,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
29,29,False,False,1227763,881768096,1227763+881768096=,8,0,The sum of 1227763 and 881768096 is 882995859.,50,18,1581250+123021143=124602393,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
30,30,False,False,28696832,1516385,28696832+1516385=,8,0,"30,130,217",50,5,92534194+1845784=94379978,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
31,31,False,False,86669258,60294542,86669258+60294542=,8,0,"146,263,800",50,5,40040952+42571261=82612213,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
32,32,False,False,26269523,860417848,26269523+860417848=,8,0,"886,687,371",50,5,12074787+883366766=895441553,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
33,33,False,False,288317111,6719702,288317111+6719702=,8,0,"294,036,813",50,5,808308620+9967409=818276029,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
34,34,False,False,375974393,17570295,375974393+17570295=,8,0,"393,544,688",50,5,924124509+20542733=944667242,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
35,35,False,False,702855193,392159457,702855193+392159457=,8,0,"1,094,014,650",50,7,134297937+860428010=994725947,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
36,36,False,False,8293063,5579292,8293063+5579292=,8,0,13882355,50,3,8623978+1625831=10249809,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
37,37,False,False,8677809,26959317,8677809+26959317=,8,0,"35,371,126",50,5,3580977+29080944=32661921,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
38,38,False,False,9709796,498497748,9709796+498497748=,8,0,"508,597,544",50,5,2541996+899857020=902399016,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
39,39,False,False,83954275,8324636,83954275+8324636=,8,0,"92,888,911",50,5,81617082+9795774=91412856,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
40,40,False,False,84038950,59508035,84038950+59508035=,8,0,143146985,50,3,60628190+20848187=81476377,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
41,41,False,False,47706879,737397363,47706879+737397363=,8,0,"785,104,242",50,5,51069441+398753215=449822656,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
42,42,False,False,975019769,8584821,975019769+8584821=,8,0,983604590,50,3,514657562+4766766=519424328,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
43,43,False,False,764100366,12205532,764100366+12205532=,8,0,"776,305,898",50,5,530382187+95795864=626178051,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
44,44,False,False,325038684,314311216,325038684+314311216=,8,0,"639,349,900",50,5,744257064+123944720=868201784,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
45,45,False,False,3626898,8897740,3626898+8897740=,8,0,"12,524,638",50,5,3205993+6157344=9363337,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
46,46,False,False,3654384,90928948,3654384+90928948=,8,0,"94,383,332",50,5,9067851+65451976=74519827,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
47,47,False,False,5215841,248222037,5215841+248222037=,8,0,"253,437,878",50,5,8831777+512842903=521674680,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
48,48,False,False,83213051,3277055,83213051+3277055=,8,0,"The sum of 83,213,051 and 3,277,055 is 86,",50,20,40623508+8028352=48651860,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
49,49,False,False,97302597,72197177,97302597+72197177=,8,0,"1,695,997,74",50,7,89641725+86269382=175911107,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
50,50,False,False,43522959,626053173,43522959+626053173=,8,0,"669,576,132",50,5,52685574+284134403=336819977,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
51,51,False,False,810599385,6461223,810599385+6461223=,8,0,"816,060,608",50,5,229676728+1830269=231506997,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
52,52,False,False,368321110,61308300,368321110+61308300=,8,0,"429,629,410",50,5,521099284+74590483=595689767,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
53,53,False,False,347634465,156805150,347634465+156805150=,8,0,"504,439,615",52,5,371661015+705203881=1076864896,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
54,54,False,False,8980889,7917286,8980889+7917286=,8,0,"16,896,175",50,5,3592087+6208483=9800570,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
55,55,False,False,3149015,51428634,3149015+51428634=,8,0,"54,777,649",50,5,8469850+35878403=44348253,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
56,56,False,False,3132772,920969091,3132772+920969091=,8,0,923101863,50,3,7013354+110527021=117540375,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
57,57,False,False,15986434,1392246,15986434+1392246=,8,0,"17,728,680",50,5,75938091+5185820=81123911,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
58,58,False,False,48951570,94029536,48951570+94029536=,8,0,142081106,50,3,35531306+23257002=58788308,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
59,59,False,False,22063662,572653085,22063662+572653085=,8,0,594716747,52,3,83713578+960135210=1043848788,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
60,60,False,False,291062901,3723758,291062901+3723758=,8,0,294786659,50,3,484411474+3630445=488041919,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
61,61,False,False,117221765,47622549,117221765+47622549=,8,0,"164,844,314",50,5,535806581+19890743=555697324,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
62,62,False,False,730626411,467731809,730626411+467731809=,8,0,"1,198,358,220",50,7,574900629+379019039=953919668,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
63,63,False,False,3714885,7521962,3714885+7521962=,8,0,"11,238,847",50,5,3714419+6567436=10281855,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
64,64,False,False,9006484,53267652,9006484+53267652=,8,0,"62,074,136",50,5,2312424+33378898=35691322,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
65,65,False,False,5222029,198699994,5222029+198699994=,8,0,"203,922,023",50,5,5088526+804963760=810052286,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
66,66,False,False,64833346,1716892,64833346+1716892=,8,0,66550238,50,3,23970281+9637409=33607690,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
67,67,False,False,10226838,45688794,10226838+45688794=,8,0,"55,015,632",50,5,93387576+84029604=177417180,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
68,68,False,False,49922028,225780966,49922028+225780966=,8,0,"275,703,994",50,5,81335478+330784249=412119727,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
69,69,False,False,131742199,8562138,131742199+8562138=,8,0,140304337,50,3,701646087+8816190=710462277,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
70,70,False,False,144889651,97098489,144889651+97098489=,8,0,241988140,50,3,446977620+85935355=532912975,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
71,71,False,False,167544901,475350920,167544901+475350920=,8,0,642895821,52,3,841451664+618616286=1460067950,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
72,72,False,False,9374668,6122542,9374668+6122542=,8,0,"15,496,210",50,5,4194791+9230196=13424987,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
73,73,False,False,1973134,13007120,1973134+13007120=,8,0,"The sum of 1,973,134 and 13,007,120 is 14,",50,20,7729872+44894082=52623954,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
74,74,False,False,9360347,717451560,9360347+717451560=,8,0,726811907,50,3,8217744+123398456=131616200,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
75,75,False,False,28505409,2617207,28505409+2617207=,8,0,"31,757,616",50,5,65840216+7894980=73735196,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
76,76,False,False,21598838,85133526,21598838+85133526=,8,0,The sum of 21598838 and 85133526 is 106732364.,50,18,26416594+63133235=89549829,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
77,77,False,False,83901777,962169873,83901777+962169873=,8,0,"1,046,071,650",50,7,25172153+955106374=980278527,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
78,78,False,False,311491260,3425934,311491260+3425934=,8,0,"314,916,194",50,5,266250601+9745990=275996591,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
79,79,False,False,986793495,54021090,986793495+54021090=,8,0,"1,040,814,585",50,7,763854662+51889363=815744025,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
80,80,False,False,494414977,632215798,494414977+632215798=,8,0,"1,126,630,775",52,7,874778733+683756224=1558534957,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
81,81,False,False,1677324,7514842,1677324+7514842=,8,0,The sum of 1677324 and 7514842 is 9192166.,50,18,6072479+3682092=9754571,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
82,82,False,False,8842593,12036159,8842593+12036159=,8,0,"20,868,752",50,5,8942027+35121164=44063191,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
83,83,False,False,8202333,472019863,8202333+472019863=,8,0,"480,222,196",50,5,5463718+859327853=864791571,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
84,84,False,False,45909767,8780671,45909767+8780671=,8,0,"54,668,438",50,5,88747090+3371903=92118993,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
85,85,False,False,40185932,43182335,40185932+43182335=,8,0,"83,368,267",50,5,41007347+96861481=137868828,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
86,86,False,False,96811155,407867638,96811155+407867638=,8,0,"504,678,793",50,5,27107017+595307475=622414492,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
87,87,False,False,592955730,7719228,592955730+7719228=,8,0,600674958,50,3,747075506+7523657=754599163,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
88,88,False,False,596780670,95328802,596780670+95328802=,8,0,"692,109,472",50,5,668475319+74235979=742711298,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
89,89,False,False,752752744,328244045,752752744+328244045=,8,0,"1,080,996,789",52,7,913779570+678445292=1592224862,gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,1,0,1
90,0,False,False,2307350,6058422,2307350+6058422=,8,0,"8,363,772",73,5,"1591489+1771307=3362796,3327240+1622211=4949451",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
91,1,False,False,7778640,14016227,7778640+14016227=,8,0,"21,788,867",73,5,"6741341+27336233=34077574,8750598+92585751=101336349",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
92,2,False,False,9482500,964332763,9482500+964332763=,8,0,"973,815,263",73,5,"9108780+350040172=359148952,6697153+138065232=144762385",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
93,3,False,False,51629751,1711633,51629751+1711633=,8,0,"53,241,384",73,5,"71466778+2912413=74379191,76583382+3693125=80276507",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
94,4,False,False,57713793,81530413,57713793+81530413=,8,0,"139,244,206",73,5,"43907337+29712317=73619654,71879765+92854755=164734520",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
95,5,False,False,10841276,608537036,10841276+608537036=,8,0,"619,378,312",73,5,"86496753+281432826=367929579,12349133+117470387=129819520",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
96,6,False,False,201260781,7489051,201260781+7489051=,8,0,"208,750,832",73,5,"974351912+2843960=977195872,583269594+7527559=590797153",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
97,7,False,False,580528087,15255626,580528087+15255626=,8,0,"595,783,713",73,5,"270005636+43758442=313764078,757489463+36258305=793747768",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
98,8,False,False,391577960,272373856,391577960+272373856=,8,0,"663,951,816",75,5,"203257269+443536093=646793362,366154807+763097383=1129252190",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
99,9,False,False,5807401,2374360,5807401+2374360=,8,0,"8,181,761",73,5,"3886336+4840519=8726855,7380554+6413406=13793960",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
100,10,False,False,3735601,78222315,3735601+78222315=,8,0,"81,057,916",73,5,"4986619+25695361=30681980,4085252+70601998=74687250",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
101,11,False,False,6612747,566641845,6612747+566641845=,8,0,"573,254,592",73,5,"6468761+302442309=308911070,7557926+566659524=574217450",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
102,12,False,False,42267863,8567869,42267863+8567869=,8,0,"50,757,732",73,5,"12469845+5598126=18067971,54728566+7491542=62220108",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
103,13,False,False,47695019,29774166,47695019+29774166=,8,0,"77,669,185",73,5,"12379222+98944842=111324064,54572596+53869984=108442580",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
104,14,False,False,18614706,518722247,18614706+518722247=,8,0,"537,336,953",73,5,"50473791+357292587=407766378,89176460+154065822=243242282",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
105,15,False,False,306492243,5719768,306492243+5719768=,8,0,"312,211,011",73,5,"122291751+1663584=123955335,405605247+5718795=411324042",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
106,16,False,False,808630085,27532599,808630085+27532599=,8,0,"836,162,684",73,5,"439870705+88636469=528507174,439335722+21467198=460802920",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
107,17,False,False,430298470,694067915,430298470+694067915=,8,0,"1,124,366,385",75,7,"759135560+659749556=1418885116,342850479+609897752=952748231",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
108,18,False,False,7169254,6322530,7169254+6322530=,8,0,"13,490,784",73,5,"1353124+7599746=8952870,5221890+7055244=12277134",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
109,19,False,False,8572387,76470457,8572387+76470457=,8,0,"85,142,844",73,5,"5651409+51942618=57594027,5855056+85826552=91681608",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
110,20,False,False,4304231,377004109,4304231+377004109=,8,0,"381,308,340",73,5,"5518636+462272780=467791416,6215726+621763728=627979454",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
111,21,False,False,92387097,3019679,92387097+3019679=,8,0,"95,246,776",73,5,"64370260+4695929=69066189,28362114+1165970=29528084",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
112,22,False,False,35295736,81720003,35295736+81720003=,8,0,"117,215,739",73,5,"19187603+78147719=97335322,54329891+98219945=152549836",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
113,23,False,False,31569348,923325852,31569348+923325852=,8,0,"954,895,200",73,5,"20505574+143375668=163881242,47084062+810473151=857557213",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
114,24,False,False,851153427,4266518,851153427+4266518=,8,0,"855,419,945",73,5,"438192840+6536845=444729685,668286416+4501663=672788079",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
115,25,False,False,910436316,79313778,910436316+79313778=,8,0,"989,750,094",73,5,"308576985+79900196=388477181,423716216+57760965=481477181",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
116,26,False,False,439288219,390148286,439288219+390148286=,8,0,"829,436,505",73,5,"483178294+367894798=851073092,215997995+358107261=574105256",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
117,27,False,False,7859788,7979386,7859788+7979386=,8,0,"15,839,174",73,5,"7915348+3755273=11670621,2573176+1353515=3926691",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
118,28,False,False,5746685,74617405,5746685+74617405=,8,0,"80,864,090",73,5,"8976296+31405795=40382091,2795267+63582370=66377637",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
119,29,False,False,1227763,881768096,1227763+881768096=,8,0,"882,995,859",73,5,"1780033+705673890=707453923,7733991+354818585=362552576",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
120,30,False,False,28696832,1516385,28696832+1516385=,8,0,"30,130,217",73,5,"86145840+8051076=94196916,58348693+9111098=67459791",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
121,31,False,False,86669258,60294542,86669258+60294542=,8,0,"146,263,800",73,5,"93190577+20558223=113748800,34211445+19381746=53593191",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
122,32,False,False,26269523,860417848,26269523+860417848=,8,0,"886,687,371",73,5,"33333515+206970314=240303829,93646189+107072679=200718868",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
123,33,False,False,288317111,6719702,288317111+6719702=,8,0,"295,036,813",73,5,"980628224+6638009=987266233,501452775+4591549=506044324",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
124,34,False,False,375974393,17570295,375974393+17570295=,8,0,"393,544,688",73,5,"301013149+87833653=388846802,531799565+29277255=561076820",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
125,35,False,False,702855193,392159457,702855193+392159457=,8,0,"1,094,014,650",75,7,"347247543+817671650=1164919193,107807235+120348149=228155384",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
126,36,False,False,8293063,5579292,8293063+5579292=,8,0,"13,872,355",73,5,"4372863+6960221=11333084,9604018+6749040=16353058",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
127,37,False,False,8677809,26959317,8677809+26959317=,8,0,"35,251,126",73,5,"2187187+88831351=91018538,2310290+78427808=80738098",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
128,38,False,False,9709796,498497748,9709796+498497748=,8,0,"508,207,544",73,5,"8434716+873768068=882202784,1179751+480369246=481548997",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
129,39,False,False,83954275,8324636,83954275+8324636=,8,0,"92,888,911",73,5,"86565680+1779455=88345135,35767442+5626018=41393460",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
130,40,False,False,84038950,59508035,84038950+59508035=,8,0,"143,146,985",73,5,"79020648+72254525=151275173,76244349+57172909=133417258",gpt-3.5-turbo-0301,You are a helpful assistant.,nosep,comma_r2l,,0,0,2,0,1
