,problem_index,flip_problem,flip_shots,num1,num2,problem_msg,problem_tokens,response_repeat,response,prompt_tokens,completion_tokens,shots,model,system_prompt,problem_number_format,answer_number_format,num_spaces,num_trailing_spaces,num_shots,problem_rng_key,shots_rng_key
35,35,False,False,702855193,392159457,702855193+392159457=,8,0,1090014650,76,4,134297937+860428010=994725947,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
36,36,False,False,8293063,5579292,8293063+5579292=,8,0,13802355,76,3,8623978+1625831=10249809,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
37,37,False,False,8677809,26959317,8677809+26959317=,8,0,35637126,76,3,3580977+29080944=32661921,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
38,38,False,False,9709796,498497748,9709796+498497748=,8,0,508207544,76,3,2541996+899857020=902399016,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
39,39,False,False,83954275,8324636,83954275+8324636=,8,0,92278911,76,3,81617082+9795774=91412856,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
40,40,False,False,84038950,59508035,84038950+59508035=,8,0,143146985,76,3,60628190+20848187=81476377,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
41,41,False,False,47706879,737397363,47706879+737397363=,8,0,785104242,76,3,51069441+398753215=449822656,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
42,42,False,False,975019769,8584821,975019769+8584821=,8,0,983604590,76,3,514657562+4766766=519424328,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
43,43,False,False,764100366,12205532,764100366+12205532=,8,0,776305898,76,3,530382187+95795864=626178051,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
44,44,False,False,325038684,314311216,325038684+314311216=,8,0,639349900,76,3,744257064+123944720=868201784,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
45,45,False,False,3626898,8897740,3626898+8897740=,8,0,12564638,76,3,3205993+6157344=9363337,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
46,46,False,False,3654384,90928948,3654384+90928948=,8,0,94583332,76,3,9067851+65451976=74519827,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
47,47,False,False,5215841,248222037,5215841+248222037=,8,0,253437878,76,3,8831777+512842903=521674680,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
48,48,False,False,83213051,3277055,83213051+3277055=,8,0,86490106,76,3,40623508+8028352=48651860,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
49,49,False,False,97302597,72197177,97302597+72197177=,8,0,169599774,76,3,89641725+86269382=175911107,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
50,50,False,False,43522959,626053173,43522959+626053173=,8,0,669576132,76,3,52685574+284134403=336819977,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
51,51,False,False,810599385,6461223,810599385+6461223=,8,0,816060608,76,3,229676728+1830269=231506997,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
52,52,False,False,368321110,61308300,368321110+61308300=,8,0,429629410,76,3,521099284+74590483=595689767,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
53,53,False,False,347634465,156805150,347634465+156805150=,8,0,504439615,77,3,371661015+705203881=1076864896,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
54,54,False,False,8980889,7917286,8980889+7917286=,8,0,16888175,76,3,3592087+6208483=9800570,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
55,55,False,False,3149015,51428634,3149015+51428634=,8,0,54577649,76,3,8469850+35878403=44348253,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
56,56,False,False,3132772,920969091,3132772+920969091=,8,0,924101863,76,3,7013354+110527021=117540375,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
57,57,False,False,15986434,1392246,15986434+1392246=,8,0,17378680,76,3,75938091+5185820=81123911,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
58,58,False,False,48951570,94029536,48951570+94029536=,8,0,142081106,76,3,35531306+23257002=58788308,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
59,59,False,False,22063662,572653085,22063662+572653085=,8,0,594716747,77,3,83713578+960135210=1043848788,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
60,60,False,False,291062901,3723758,291062901+3723758=,8,0,294786659,76,3,484411474+3630445=488041919,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
61,61,False,False,117221765,47622549,117221765+47622549=,8,0,164844314,76,3,535806581+19890743=555697324,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
62,62,False,False,730626411,467731809,730626411+467731809=,8,0,1190353220,76,4,574900629+379019039=953919668,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
63,63,False,False,3714885,7521962,3714885+7521962=,8,0,11296847,76,3,3714419+6567436=10281855,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
64,64,False,False,9006484,53267652,9006484+53267652=,8,0,62274136,76,3,2312424+33378898=35691322,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
65,65,False,False,5222029,198699994,5222029+198699994=,8,0,203922023,76,3,5088526+804963760=810052286,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
66,66,False,False,64833346,1716892,64833346+1716892=,8,0,66550238,76,3,23970281+9637409=33607690,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
67,67,False,False,10226838,45688794,10226838+45688794=,8,0,55915632,76,3,93387576+84029604=177417180,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
68,68,False,False,49922028,225780966,49922028+225780966=,8,0,275703994,76,3,81335478+330784249=412119727,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
69,69,False,False,131742199,8562138,131742199+8562138=,8,0,140304337,76,3,701646087+8816190=710462277,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
70,70,False,False,144889651,97098489,144889651+97098489=,8,0,241988140,76,3,446977620+85935355=532912975,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
71,71,False,False,167544901,475350920,167544901+475350920=,8,0,642895821,77,3,841451664+618616286=1460067950,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
72,72,False,False,9374668,6122542,9374668+6122542=,8,0,15437210,76,3,4194791+9230196=13424987,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
73,73,False,False,1973134,13007120,1973134+13007120=,8,0,14980254,76,3,7729872+44894082=52623954,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
74,74,False,False,9360347,717451560,9360347+717451560=,8,0,726811907,76,3,8217744+123398456=131616200,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
75,75,False,False,28505409,2617207,28505409+2617207=,8,0,31122616,76,3,65840216+7894980=73735196,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
76,76,False,False,21598838,85133526,21598838+85133526=,8,0,106732364,76,3,26416594+63133235=89549829,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
77,77,False,False,83901777,962169873,83901777+962169873=,8,0,1047074650,76,4,25172153+955106374=980278527,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
78,78,False,False,311491260,3425934,311491260+3425934=,8,0,314917194,76,3,266250601+9745990=275996591,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
79,79,False,False,986793495,54021090,986793495+54021090=,8,0,"1,040,814,585",76,7,763854662+51889363=815744025,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
80,80,False,False,494414977,632215798,494414977+632215798=,8,0,1124632775,77,4,874778733+683756224=1558534957,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
81,81,False,False,1677324,7514842,1677324+7514842=,8,0,9192166,76,3,6072479+3682092=9754571,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
82,82,False,False,8842593,12036159,8842593+12036159=,8,0,20878752,76,3,8942027+35121164=44063191,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
83,83,False,False,8202333,472019863,8202333+472019863=,8,0,480222196,76,3,5463718+859327853=864791571,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
84,84,False,False,45909767,8780671,45909767+8780671=,8,0,54690438,76,3,88747090+3371903=92118993,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
85,85,False,False,40185932,43182335,40185932+43182335=,8,0,83368267,76,3,41007347+96861481=137868828,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
86,86,False,False,96811155,407867638,96811155+407867638=,8,0,504678793,76,3,27107017+595307475=622414492,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
87,87,False,False,592955730,7719228,592955730+7719228=,8,0,600674958,76,3,747075506+7523657=754599163,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
88,88,False,False,596780670,95328802,596780670+95328802=,8,0,692109472,76,3,668475319+74235979=742711298,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
89,89,False,False,752752744,328244045,752752744+328244045=,8,0,1086996789,77,4,913779570+678445292=1592224862,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
90,0,False,False,2307350,6058422,2307350+6058422=,8,0,8365772,97,3,"1591489+1771307=3362796,3327240+1622211=4949451",gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,2,0,1
91,1,False,False,7778640,14016227,7778640+14016227=,8,0,21794867,97,3,"6741341+27336233=34077574,8750598+92585751=101336349",gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,2,0,1
92,2,False,False,9482500,964332763,9482500+964332763=,8,0,973815263,97,3,"9108780+350040172=359148952,6697153+138065232=144762385",gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,2,0,1
93,3,False,False,51629751,1711633,51629751+1711633=,8,0,53341384,97,3,"71466778+2912413=74379191,76583382+3693125=80276507",gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,2,0,1
94,4,False,False,57713793,81530413,57713793+81530413=,8,0,139244206,97,3,"43907337+29712317=73619654,71879765+92854755=164734520",gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,2,0,1
95,5,False,False,10841276,608537036,10841276+608537036=,8,0,619378312,97,3,"86496753+281432826=367929579,12349133+117470387=129819520",gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,2,0,1
96,6,False,False,201260781,7489051,201260781+7489051=,8,0,208750832,97,3,"974351912+2843960=977195872,583269594+7527559=590797153",gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,2,0,1
97,7,False,False,580528087,15255626,580528087+15255626=,8,0,595783713,97,3,"270005636+43758442=313764078,757489463+36258305=793747768",gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,2,0,1
98,8,False,False,391577960,272373856,391577960+272373856=,8,0,663951816,98,3,"203257269+443536093=646793362,366154807+763097383=1129252190",gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,2,0,1
99,9,False,False,5807401,2374360,5807401+2374360=,8,0,8181761,97,3,"3886336+4840519=8726855,7380554+6413406=13793960",gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,2,0,1
100,10,False,False,3735601,78222315,3735601+78222315=,8,0,81957916,97,3,"4986619+25695361=30681980,4085252+70601998=74687250",gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,2,0,1
101,11,False,False,6612747,566641845,6612747+566641845=,8,0,573254592,97,3,"6468761+302442309=308911070,7557926+566659524=574217450",gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,2,0,1
102,12,False,False,42267863,8567869,42267863+8567869=,8,0,50835732,97,3,"12469845+5598126=18067971,54728566+7491542=62220108",gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,2,0,1
103,13,False,False,47695019,29774166,47695019+29774166=,8,0,77469185,97,3,"12379222+98944842=111324064,54572596+53869984=108442580",gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,2,0,1
104,14,False,False,18614706,518722247,18614706+518722247=,8,0,537336953,97,3,"50473791+357292587=407766378,89176460+154065822=243242282",gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,2,0,1
105,15,False,False,306492243,5719768,306492243+5719768=,8,0,312211011,97,3,"122291751+1663584=123955335,405605247+5718795=411324042",gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,2,0,1
106,16,False,False,808630085,27532599,808630085+27532599=,8,0,836162684,97,3,"439870705+88636469=528507174,439335722+21467198=460802920",gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,2,0,1
