,problem_index,flip_problem,flip_shots,num1,num2,problem_msg,problem_tokens,response_repeat,response,prompt_tokens,completion_tokens,shots,model,system_prompt,problem_number_format,answer_number_format,num_spaces,num_trailing_spaces,num_shots,problem_rng_key,shots_rng_key
857,47,False,False,5215841,248222037,5215841  +  248222037  =  ,13,0,253437878,106,3,"3613625+370777935=374391560,5389495+842073747=847463242",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
858,48,False,False,83213051,3277055,83213051  +  3277055  =  ,13,0,86490106,106,3,"88767267+4986040=93753307,12340596+2302082=14642678",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
859,49,False,False,97302597,72197177,97302597  +  72197177  =  ,13,0,169499774,106,3,"93037001+56863043=149900044,28799148+14095922=42895070",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
860,50,False,False,43522959,626053173,43522959  +  626053173  =  ,13,0,669576132,106,3,"49217907+374160669=423378576,24935627+672966926=697902553",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
861,51,False,False,810599385,6461223,810599385  +  6461223  =  ,13,0,817060608,106,3,"183185645+1115750=184301395,273074170+4822163=277896333",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
862,52,False,False,368321110,61308300,368321110  +  61308300  =  ,13,0,429629410,106,3,"316689475+24614772=341304247,555412191+63995560=619407751",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
863,53,False,False,347634465,156805150,347634465  +  156805150  =  ,13,0,504439615,107,3,"226011341+987955479=1213966820,409531973+174837054=584369027",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
864,54,False,False,8980889,7917286,8980889  +  7917286  =  ,13,0,16898175,106,3,"4456432+7357009=11813441,4324606+4573539=8898145",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
865,55,False,False,3149015,51428634,3149015  +  51428634  =  ,13,0,54577649,106,3,"3031743+32401010=35432753,3092719+16655738=19748457",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
866,56,False,False,3132772,920969091,3132772  +  920969091  =  ,13,0,924101863,106,3,"5953003+672494683=678447686,2490680+797585886=800076566",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
867,57,False,False,15986434,1392246,15986434  +  1392246  =  ,13,0,17378680,106,3,"68102662+2759250=70861912,62670221+1902364=64572585",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
868,58,False,False,48951570,94029536,48951570  +  94029536  =  ,13,0,142981106,106,3,"86000733+28775209=114775942,68587153+97069642=165656795",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
869,59,False,False,22063662,572653085,22063662  +  572653085  =  ,13,0,594716747,106,3,"40307996+904895915=945203911,22158079+753873610=776031689",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
870,60,False,False,291062901,3723758,291062901  +  3723758  =  ,13,0,294786659,106,3,"363369838+9684743=373054581,891439201+6316666=897755867",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
871,61,False,False,117221765,47622549,117221765  +  47622549  =  ,13,0,164844314,106,3,"745914937+68646478=814561415,403927229+48566547=452493776",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
872,62,False,False,730626411,467731809,730626411  +  467731809  =  ,13,0,1198358220,107,4,"740425681+128301898=868727579,539034477+738862082=1277896559",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
873,63,False,False,3714885,7521962,3714885  +  7521962  =  ,13,0,11236847,106,3,"9989207+8866215=18855422,9483317+7988465=17471782",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
874,64,False,False,9006484,53267652,9006484  +  53267652  =  ,13,0,62274136,106,3,"4246178+32113903=36360081,7307462+62763934=70071396",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
875,65,False,False,5222029,198699994,5222029  +  198699994  =  ,13,0,203922023,106,3,"1908726+110219937=112128663,2186933+814693947=816880880",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
876,66,False,False,64833346,1716892,64833346  +  1716892  =  ,13,0,66550238,106,3,"48805187+7722943=56528130,78110009+2978336=81088345",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
877,67,False,False,10226838,45688794,10226838  +  45688794  =  ,13,0,55915632,106,3,"96066408+75627624=171694032,29335682+30969411=60305093",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
878,68,False,False,49922028,225780966,49922028  +  225780966  =  ,13,0,275702994,106,3,"83919937+895169444=979089381,75416772+271727909=347144681",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
879,69,False,False,131742199,8562138,131742199  +  8562138  =  ,13,0,140304337,106,3,"257729303+8057664=265786967,817391972+4522846=821914818",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
880,70,False,False,144889651,97098489,144889651  +  97098489  =  ,13,0,241988140,107,3,"233022882+73585782=306608664,942079301+57977966=1000057267",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
881,71,False,False,167544901,475350920,167544901  +  475350920  =  ,13,0,642895821,107,3,"610753469+452438421=1063191890,177055915+721234626=898290541",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
882,72,False,False,9374668,6122542,9374668  +  6122542  =  ,13,0,15497210,106,3,"1972559+1514479=3487038,6343781+8458396=14802177",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
883,73,False,False,1973134,13007120,1973134  +  13007120  =  ,13,0,14980254,106,3,"8554190+10705468=19259658,4376391+44151673=48528064",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
884,74,False,False,9360347,717451560,9360347  +  717451560  =  ,13,0,726721907,106,3,"1757969+343255638=345013607,9587629+579521760=589109389",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
885,75,False,False,28505409,2617207,28505409  +  2617207  =  ,13,0,31122616,106,3,"99977357+1739524=101716881,73736132+3502580=77238712",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
886,76,False,False,21598838,85133526,21598838  +  85133526  =  ,13,0,106732364,106,3,"87506600+36469416=123976016,84719677+57862242=142581919",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
887,77,False,False,83901777,962169873,83901777  +  962169873  =  ,13,0,1046071650,106,4,"32610280+357822750=390433030,23514502+451192940=474707442",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
888,78,False,False,311491260,3425934,311491260  +  3425934  =  ,13,0,314817194,106,3,"679321471+4772620=684094091,682905003+2346216=685251219",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
889,79,False,False,986793495,54021090,986793495  +  54021090  =  ,13,0,1040814585,106,4,"109071204+86283320=195354524,407407936+30145251=437553187",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
890,80,False,False,494414977,632215798,494414977  +  632215798  =  ,13,0,1126630775,108,4,"902657262+984918055=1887575317,131406168+971063401=1102469569",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
891,81,False,False,1677324,7514842,1677324  +  7514842  =  ,13,0,9192166,106,3,"3433969+5102126=8536095,7843840+9519813=17363653",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
892,82,False,False,8842593,12036159,8842593  +  12036159  =  ,13,0,20878752,106,3,"6273534+42860597=49134131,9752847+95725303=105478150",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
893,83,False,False,8202333,472019863,8202333  +  472019863  =  ,13,0,480242196,106,3,"7482165+766541911=774024076,7889716+961129904=969019620",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
894,84,False,False,45909767,8780671,45909767  +  8780671  =  ,13,0,54690438,106,3,"48674765+1441130=50115895,11743229+1546300=13289529",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
895,85,False,False,40185932,43182335,40185932  +  43182335  =  ,13,0,83368267,106,3,"30762385+35079281=65841666,94404127+93967095=188371222",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
896,86,False,False,96811155,407867638,96811155  +  407867638  =  ,13,0,504678793,106,3,"36691272+319691690=356382962,11312415+472409695=483722110",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
897,87,False,False,592955730,7719228,592955730  +  7719228  =  ,13,0,600674958,106,3,"283459338+1551230=285010568,789206888+9150776=798357664",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
898,88,False,False,596780670,95328802,596780670  +  95328802  =  ,13,0,692109472,106,3,"831059696+44059708=875119404,425158699+56771003=481929702",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
899,89,False,False,752752744,328244045,752752744  +  328244045  =  ,13,0,1080996789,108,4,"761858063+302905867=1064763930,284334440+938335742=1222670182",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,2,0,1
900,0,False,False,2307350,6058422,2307350  +  6058422  =  ,13,0,8365772,154,3,"8164290+4761627=12925917,6026337+3713674=9740011,3269144+2408318=5677462,8870993+4965945=13836938",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
901,1,False,False,7778640,14016227,7778640  +  14016227  =  ,13,0,21794867,154,3,"4577401+48986114=53563515,2011501+75329159=77340660,2105083+35190507=37295590,6860160+79408423=86268583",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
902,2,False,False,9482500,964332763,9482500  +  964332763  =  ,13,0,973715263,154,3,"7512213+942292093=949804306,4671020+454058055=458729075,7987873+538001944=545989817,8683723+769108974=777792697",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
903,3,False,False,51629751,1711633,51629751  +  1711633  =  ,13,0,53341384,154,3,"68633939+5310380=73944319,64588104+5320641=69908745,19222303+6073905=25296208,61063786+2419058=63482844",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
904,4,False,False,57713793,81530413,57713793  +  81530413  =  ,13,0,139244206,154,3,"86126589+36884201=123010790,59902224+30694938=90597162,86050909+48805403=134856312,41780116+69071983=110852099",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
905,5,False,False,10841276,608537036,10841276  +  608537036  =  ,13,0,619378312,154,3,"28489424+888483886=916973310,72080475+826237185=898317660,88351518+736631004=824982522,97650216+332929601=430579817",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
906,6,False,False,201260781,7489051,201260781  +  7489051  =  ,13,0,208749832,154,3,"109472120+5301592=114773712,882824762+5810592=888635354,626408916+5180938=631589854,367433260+6766227=374199487",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
907,7,False,False,580528087,15255626,580528087  +  15255626  =  ,13,0,595783713,155,3,"937932158+89402445=1027334603,352093843+87812123=439905966,110920338+92377308=203297646,111452996+79280466=190733462",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
908,8,False,False,391577960,272373856,391577960  +  272373856  =  ,13,0,663951816,154,3,"650386594+227366106=877752700,518433549+198725885=717159434,376840886+403647231=780488117,272622838+618676442=891299280",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
909,9,False,False,5807401,2374360,5807401  +  2374360  =  ,13,0,8181761,154,3,"9458871+3933404=13392275,3489654+2107299=5596953,8742721+9342892=18085613,6947681+9305608=16253289",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
910,10,False,False,3735601,78222315,3735601  +  78222315  =  ,13,0,81957916,154,3,"2613676+79721673=82335349,8949218+53614019=62563237,9723380+79487736=89211116,7313114+60058017=67371131",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
911,11,False,False,6612747,566641845,6612747  +  566641845  =  ,13,0,573254592,154,3,"5568944+329137718=334706662,8997031+267159305=276156336,1246722+177272819=178519541,1772506+778226639=779999145",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
912,12,False,False,42267863,8567869,42267863  +  8567869  =  ,13,0,50835732,154,3,"60384172+1647144=62031316,12523847+5298209=17822056,46039971+4709186=50749157,78537443+2733264=81270707",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
913,13,False,False,47695019,29774166,47695019  +  29774166  =  ,13,0,77469185,154,3,"63656791+26244308=89901099,93536453+42135390=135671843,63653623+89681945=153335568,73815078+63527504=137342582",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
914,14,False,False,18614706,518722247,18614706  +  518722247  =  ,13,0,537336953,154,3,"97858914+316786211=414645125,78413611+320390115=398803726,80935034+351848541=432783575,70020827+284623375=354644202",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
915,15,False,False,306492243,5719768,306492243  +  5719768  =  ,13,0,312212011,154,3,"173022491+9271597=182294088,628527422+5249040=633776462,582439051+7924782=590363833,859185468+6801657=865987125",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
916,16,False,False,808630085,27532599,808630085  +  27532599  =  ,13,0,836162684,154,3,"851398622+11254601=862653223,425019190+32299573=457318763,639183178+17120996=656304174,676539230+25088925=701628155",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
917,17,False,False,430298470,694067915,430298470  +  694067915  =  ,13,0,1124366385,155,4,"330910444+624996094=955906538,206277925+162583826=368861751,584100047+133970669=718070716,535299102+919414507=1454713609",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
918,18,False,False,7169254,6322530,7169254  +  6322530  =  ,13,0,13491784,154,3,"8634003+5704370=14338373,7919540+4546365=12465905,3314847+7953409=11268256,9670172+4590953=14261125",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
919,19,False,False,8572387,76470457,8572387  +  76470457  =  ,13,0,85042844,154,3,"5098248+50486212=55584460,4407718+24281853=28689571,5381196+68974843=74356039,6015605+27773751=33789356",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
920,20,False,False,4304231,377004109,4304231  +  377004109  =  ,13,0,381308340,154,3,"2828532+150209465=153037997,6254881+574497217=580752098,9063993+464341885=473405878,2412990+399252078=401665068",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
921,21,False,False,92387097,3019679,92387097  +  3019679  =  ,13,0,95406776,154,3,"18250594+7108684=25359278,13008727+6203030=19211757,36823945+9505574=46329519,63831104+4275610=68106714",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
922,22,False,False,35295736,81720003,35295736  +  81720003  =  ,13,0,117015739,154,3,"17035145+39024257=56059402,96460159+87737207=184197366,27096116+55216902=82313018,11645273+55910499=67555772",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
923,23,False,False,31569348,923325852,31569348  +  923325852  =  ,13,0,954995200,154,3,"79869263+456400142=536269405,14009288+512362045=526371333,75606502+765237875=840844377,79106212+470309012=549415224",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
924,24,False,False,851153427,4266518,851153427  +  4266518  =  ,13,0,855419945,154,3,"378813458+2347632=381161090,152857029+1862768=154719797,770492324+1732982=772225306,644482646+3260036=647742682",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
925,25,False,False,910436316,79313778,910436316  +  79313778  =  ,13,0,989750094,154,3,"574842849+15371725=590214574,913383959+76657627=990041586,753526597+71834407=825361004,527800805+25415494=553216299",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
926,26,False,False,439288219,390148286,439288219  +  390148286  =  ,13,0,829436505,157,3,"887444921+642881197=1530326118,394217501+599375878=993593379,617007486+670467464=1287474950,933273198+449043731=1382316929",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
927,27,False,False,7859788,7979386,7859788  +  7979386  =  ,13,0,15839174,154,3,"2243862+5213853=7457715,7512699+8938428=16451127,2169622+2493486=4663108,8942910+4286160=13229070",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
928,28,False,False,5746685,74617405,5746685  +  74617405  =  ,13,0,80364090,154,3,"7914182+10285234=18199416,3314369+25262919=28577288,6185003+67286068=73471071,7529175+13173236=20702411",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
929,29,False,False,1227763,881768096,1227763  +  881768096  =  ,13,0,882945859,154,3,"2343247+541366779=543710026,5193760+647948931=653142691,5071655+321963111=327034766,5787769+990967774=996755543",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
930,30,False,False,28696832,1516385,28696832  +  1516385  =  ,13,0,30213217,154,3,"31711956+5010677=36722633,80372082+3340193=83712275,34928245+7063905=41992150,65470545+4679258=70149803",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
931,31,False,False,86669258,60294542,86669258  +  60294542  =  ,13,0,146963800,154,3,"53849054+33220325=87069379,14016673+58589473=72606146,65514074+68945650=134459724,88025958+66692361=154718319",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
932,32,False,False,26269523,860417848,26269523  +  860417848  =  ,13,0,886687371,154,3,"15075604+223392099=238467703,22337205+285844127=308181332,18985096+357159930=376145026,85612595+610527187=696139782",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
933,33,False,False,288317111,6719702,288317111  +  6719702  =  ,13,0,295036813,154,3,"476347049+8389017=484736066,137900949+7159269=145060218,626663534+3427640=630091174,370973371+2325222=373298593",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
934,34,False,False,375974393,17570295,375974393  +  17570295  =  ,13,0,393544688,154,3,"711994305+27232831=739227136,615258779+49308825=664567604,255639611+56583506=312223117,460204090+46387949=506592039",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
935,35,False,False,702855193,392159457,702855193  +  392159457  =  ,13,0,1095014650,158,4,"354040467+918185286=1272225753,701669110+524051671=1225720781,786296124+422973707=1209269831,961540600+258316133=1219856733",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
936,36,False,False,8293063,5579292,8293063  +  5579292  =  ,13,0,13872355,154,3,"3849983+6056418=9906401,5665623+8683313=14348936,8028793+8644796=16673589,7430084+8564405=15994489",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
937,37,False,False,8677809,26959317,8677809  +  26959317  =  ,13,0,35637126,154,3,"2405053+61136872=63541925,1824008+59645122=61469130,9801809+27235561=37037370,8041716+65498457=73540173",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
938,38,False,False,9709796,498497748,9709796  +  498497748  =  ,13,0,508207544,154,3,"6760562+627506228=634266790,3891570+883066997=886958567,3354036+968655246=972009282,8396635+447209204=455605839",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
939,39,False,False,83954275,8324636,83954275  +  8324636  =  ,13,0,92278911,154,3,"53051833+5504767=58556600,57138702+5456518=62595220,37834981+4969885=42804866,72821507+9719663=82541170",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
940,40,False,False,84038950,59508035,84038950  +  59508035  =  ,13,0,143546985,154,3,"64579902+39364131=103944033,80156584+78988945=159145529,23432828+25235173=48668001,37639566+48130120=85769686",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
941,41,False,False,47706879,737397363,47706879  +  737397363  =  ,13,0,785104242,156,3,"41532501+394929545=436462046,20717359+999619074=1020336433,87234404+988635172=1075869576,63440534+832626959=896067493",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
942,42,False,False,975019769,8584821,975019769  +  8584821  =  ,13,0,983574590,154,3,"395343546+9451039=404794585,789565560+5559673=795125233,326090266+1673531=327763797,213208719+1734878=214943597",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
943,43,False,False,764100366,12205532,764100366  +  12205532  =  ,13,0,776305898,154,3,"151852093+69316046=221168139,423811915+28040278=451852193,313573966+55949032=369522998,309151719+25587570=334739289",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
944,44,False,False,325038684,314311216,325038684  +  314311216  =  ,13,0,639349900,158,3,"451816475+944293535=1396110010,702829050+839761567=1542590617,754750371+955271117=1710021488,915804460+948782683=1864587143",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
945,45,False,False,3626898,8897740,3626898  +  8897740  =  ,13,0,12524638,154,3,"4620158+9634357=14254515,3286118+8711634=11997752,1345933+1880906=3226839,6333151+8945742=15278893",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
946,46,False,False,3654384,90928948,3654384  +  90928948  =  ,13,0,94583332,154,3,"8956244+26350223=35306467,7107625+62954663=70062288,3554963+85087007=88641970,2023866+93455398=95479264",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
947,47,False,False,5215841,248222037,5215841  +  248222037  =  ,13,0,253437878,154,3,"6588055+256948012=263536067,4527992+558927515=563455507,9295266+772295799=781591065,9568716+782239408=791808124",gpt-4-0314,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,2,2,4,0,1
